id,symbol,frequency,open,high,low,close,volume,amount,pre_close,bob,eob,position
404,SHSE.600000,1d,8.2046,8.4027,8.2046,8.3422,241917533,3653652169.0,8.2872,2015-09-09 00:00:00+08:00,2015-09-09 00:00:00+08:00,0
405,SHSE.600000,1d,8.2872,8.4027,8.2321,8.3917,205749026,3113080980.0,8.3422,2015-09-10 00:00:00+08:00,2015-09-10 00:00:00+08:00,0
406,SHSE.600000,1d,8.4467,8.6173,8.4192,8.5623,288708558,4469128138.0,8.3917,2015-09-11 00:00:00+08:00,2015-09-11 00:00:00+08:00,0
407,SHSE.600000,1d,8.5293,8.7769,8.2156,8.7659,183936607,2836987910.0,8.5623,2015-09-14 00:00:00+08:00,2015-09-14 00:00:00+08:00,0
408,SHSE.600000,1d,8.5458,8.5568,8.3862,8.5073,107602458,1658227600.0,8.7659,2015-09-15 00:00:00+08:00,2015-09-15 00:00:00+08:00,0
409,SHSE.600000,1d,8.4247,8.6944,8.2707,8.4908,74128982,1135218748.0,8.5073,2015-09-16 00:00:00+08:00,2015-09-16 00:00:00+08:00,0
410,SHSE.600000,1d,8.4412,8.5073,8.3092,8.3147,50848655,778452708.0,8.4908,2015-09-17 00:00:00+08:00,2015-09-17 00:00:00+08:00,0
411,SHSE.600000,1d,8.3422,8.4137,8.2651,8.2707,40899248,619915754.0,8.3147,2015-09-18 00:00:00+08:00,2015-09-18 00:00:00+08:00,0
412,SHSE.600000,1d,8.2321,8.2982,8.1661,8.2376,40488316,604842000.0,8.2707,2015-09-21 00:00:00+08:00,2015-09-21 00:00:00+08:00,0
413,SHSE.600000,1d,8.2376,8.3807,8.2376,8.2817,38673835,584644943.0,8.2376,2015-09-22 00:00:00+08:00,2015-09-22 00:00:00+08:00,0
414,SHSE.600000,1d,8.2046,8.2541,8.0781,8.2266,54580634,810914239.0,8.2817,2015-09-23 00:00:00+08:00,2015-09-23 00:00:00+08:00,0
415,SHSE.600000,1d,8.2266,8.4192,8.1826,8.4027,78862572,1192962812.0,8.2266,2015-09-24 00:00:00+08:00,2015-09-24 00:00:00+08:00,0
416,SHSE.600000,1d,8.3367,8.5953,8.3367,8.5788,136070895,2096781866.0,8.4027,2015-09-25 00:00:00+08:00,2015-09-25 00:00:00+08:00,0
417,SHSE.600000,1d,8.5568,8.7824,8.4853,8.7604,91425816,1436492503.0,8.5788,2015-09-28 00:00:00+08:00,2015-09-28 00:00:00+08:00,0
418,SHSE.600000,1d,8.6889,8.7989,8.6228,8.7879,114190253,1807681575.0,8.7604,2015-09-29 00:00:00+08:00,2015-09-29 00:00:00+08:00,0
419,SHSE.600000,1d,8.7769,9.1621,8.7494,9.1511,211038123,3452096800.0,8.7879,2015-09-30 00:00:00+08:00,2015-09-30 00:00:00+08:00,0
420,SHSE.600000,1d,9.2446,9.2446,8.7109,8.7329,140057148,2277284657.0,9.1511,2015-10-08 00:00:00+08:00,2015-10-08 00:00:00+08:00,0
421,SHSE.600000,1d,8.7879,8.887,8.7219,8.7494,41525835,663144753.0,8.7329,2015-10-09 00:00:00+08:00,2015-10-09 00:00:00+08:00,0
422,SHSE.600000,1d,8.7494,8.942,8.6558,8.8374,93633306,1497165793.0,8.7494,2015-10-12 00:00:00+08:00,2015-10-12 00:00:00+08:00,0
423,SHSE.600000,1d,8.7934,8.865,8.7219,8.7879,54698799,873290852.0,8.8374,2015-10-13 00:00:00+08:00,2015-10-13 00:00:00+08:00,0
424,SHSE.600000,1d,8.6999,8.8539,8.6999,8.7494,44297812,706211867.0,8.7879,2015-10-14 00:00:00+08:00,2015-10-14 00:00:00+08:00,0
425,SHSE.600000,1d,8.8209,9.1181,8.8209,8.9585,101041055,1648965008.0,8.7494,2015-10-26 00:00:00+08:00,2015-10-26 00:00:00+08:00,0
426,SHSE.600000,1d,8.931,9.052,8.887,8.9805,74933996,1223267248.0,8.9585,2015-10-27 00:00:00+08:00,2015-10-27 00:00:00+08:00,0
427,SHSE.600000,1d,8.9475,9.1016,8.8539,8.975,74226285,1217460775.0,8.9805,2015-10-28 00:00:00+08:00,2015-10-28 00:00:00+08:00,0
428,SHSE.600000,1d,8.9695,9.1511,8.931,9.1291,75760565,1251114542.0,8.975,2015-10-29 00:00:00+08:00,2015-10-29 00:00:00+08:00,0
429,SHSE.600000,1d,9.0796,9.1786,9.0135,9.019,45465414,750144861.0,9.1291,2015-10-30 00:00:00+08:00,2015-10-30 00:00:00+08:00,0
430,SHSE.600000,1d,8.9695,9.0906,8.9255,9.03,38122791,625014482.0,9.019,2015-11-02 00:00:00+08:00,2015-11-02 00:00:00+08:00,0
431,SHSE.600000,1d,9.0245,9.2281,9.008,9.0575,60485065,1005503941.0,9.03,2015-11-03 00:00:00+08:00,2015-11-03 00:00:00+08:00,0
432,SHSE.600000,1d,9.041,9.3107,9.041,9.2667,65053992,1086409869.0,9.0575,2015-11-04 00:00:00+08:00,2015-11-04 00:00:00+08:00,0
433,SHSE.600000,1d,9.2722,9.9435,9.2171,9.7454,231799691,4077390381.0,9.2667,2015-11-05 00:00:00+08:00,2015-11-05 00:00:00+08:00,0
434,SHSE.600000,1d,9.6408,10.004,9.6353,9.8389,127594225,2277276146.0,9.7454,2015-11-06 00:00:00+08:00,2015-11-06 00:00:00+08:00,0
435,SHSE.600000,1d,9.861,10.5598,9.8389,9.9875,157820058,2925510320.0,9.8389,2015-11-09 00:00:00+08:00,2015-11-09 00:00:00+08:00,0
436,SHSE.600000,1d,9.905,10.2847,9.8059,10.1086,140427138,2575229758.0,9.9875,2015-11-10 00:00:00+08:00,2015-11-10 00:00:00+08:00,0
437,SHSE.600000,1d,10.1306,10.1746,9.6298,9.7564,92130221,1643831042.0,10.1086,2015-11-11 00:00:00+08:00,2015-11-11 00:00:00+08:00,0
438,SHSE.600000,1d,9.7949,9.8114,9.4372,9.5528,77790159,1353612961.0,9.7564,2015-11-12 00:00:00+08:00,2015-11-12 00:00:00+08:00,0
439,SHSE.600000,1d,9.4648,9.6849,9.4372,9.6739,73433156,1283306200.0,9.5528,2015-11-13 00:00:00+08:00,2015-11-13 00:00:00+08:00,0
440,SHSE.600000,1d,9.5418,9.6739,9.4648,9.5858,45144666,785563829.0,9.6739,2015-11-16 00:00:00+08:00,2015-11-16 00:00:00+08:00,0
441,SHSE.600000,1d,9.6078,9.8004,9.5858,9.5968,63539278,1119712536.0,9.5858,2015-11-17 00:00:00+08:00,2015-11-17 00:00:00+08:00,0
442,SHSE.600000,1d,9.6133,9.7289,9.4868,9.5693,57584578,1003785434.0,9.5968,2015-11-18 00:00:00+08:00,2015-11-18 00:00:00+08:00,0
443,SHSE.600000,1d,9.5198,9.8995,9.5198,9.8499,102543449,1821483172.0,9.5693,2015-11-19 00:00:00+08:00,2015-11-19 00:00:00+08:00,0
